,Vehicle,wikipedia_name,wikipedia_url,mission_type,mission_duration,orbits_completed,spacecraft,launch_mass,landing_mass,launch_rocket,launch_site,landing_date,landing_site,orbit_epoch,orbit_reference,orbit_regime,orbit_periapsis,orbit_apoapsis,orbit_inclination,orbit_period,apsis,crew_size,crew_members
0,Gemini IV,Gemini_4,https://en.wikipedia.org/wiki/Gemini_4," 
"," 4&nbsp;days, 1&nbsp;hour, 56&nbsp;minutes, 12&nbsp;seconds
"," 66 (62 revolutions)

"," [[Gemini (spacecraft)|Gemini]] SC4
"," {{convert|7880|lb|kg|disp=flip}}
","

"," {{nowrap|[[Titan II GLV]],}} {{nowrap|s/n 62-12559}}
"," [[Cape Canaveral Air Force Station|Cape Kennedy]] [[Cape Canaveral Air Force Station Launch Complex 19|LC-19]]

"," {{end-date|June 7, 1965, 17:12:11|timezone=yes}}&nbsp;UTC
"," North Atlantic Ocean<br/>{{coord|27|44|N|74|11|W}}
"," June 3, 1965 <ref name=satcat />
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|165|km|nmi|sp=us}} 
"," {{convert|289|km|nmi|sp=us}} 
"," 32.5&nbsp;degrees
"," 89.03&nbsp;minutes
"," gee

"," 2
"," [[James McDivitt|James A. McDivitt]]<br/>[[Edward Higgins White|Edward H. White II]]
"
1,Gemini VIII,Gemini_8,https://en.wikipedia.org/wiki/Gemini_8," Docking test
"," 10&nbsp;hours, 41&nbsp;minutes, 26&nbsp;seconds
"," 6

"," [[Gemini (spacecraft)|Gemini]] SC8
"," {{convert|3789|kg|lb}}
","

"," {{nowrap|[[Titan II GLV]],}} {{nowrap|s/n 62-12563}}
"," [[Cape Canaveral Air Force Station|Cape Kennedy]] [[Cape Canaveral Air Force Station Launch Complex 19|LC-19]]

"," {{end-date|March 17, 1966, 03:22:28|timezone=yes}}&nbsp;UTC
"," {{coord|25|13.8|N|136|0|E}}
"," March 16, 1966<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref> 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|261|km|nmi|sp=us}} 
"," {{convert|270|km|nmi|sp=us}} 
"," 28.9&nbsp;degrees
"," 89.81&nbsp;minutes
"," gee

"," 2
"," [[Neil Armstrong|Neil A. Armstrong]]<br/>[[David Scott|David R. Scott]]
"
2,Gemini IX-A,Gemini_9A,https://en.wikipedia.org/wiki/Gemini_9A," 
"," 3&nbsp;days, 20&nbsp;minutes, 50&nbsp;seconds
"," 47

"," [[Gemini (spacecraft)|Gemini]] SC9
"," {{convert|8300|lb|kg|disp=flip}}
","

"," {{nowrap|[[Titan II GLV]],}} {{nowrap|s/n #62-12564}}
"," [[Cape Canaveral Air Force Station|Cape Kennedy]] [[Cape Canaveral Air Force Station Launch Complex 19|LC-19]]

"," {{end-date|June 6, 1966, 14:00:23|timezone=yes}}&nbsp;UTC
"," {{coord|27|52|N|75|0.4|W}}
"," June 6, 1966<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 24, 2014}}</ref> 
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|272|km|nmi|sp=us}}
"," {{convert|274|km|nmi|sp=us}} 
"," 28.8&nbsp;degrees
"," 89.97&nbsp;minutes
"," gee

"," 2
"," [[Thomas P. Stafford]]<br/>[[Eugene Cernan|Eugene A. Cernan]]
"
3,Gemini X,Gemini_10,https://en.wikipedia.org/wiki/Gemini_10," 
"," 2&nbsp;days, 22&nbsp;hours, 46&nbsp;minutes, 39&nbsp;seconds
"," 43

"," [[Gemini (spacecraft)|Gemini]] SC10
"," {{convert|3762.6|kg|lb|disp=flip}}
"," {{convert|4254|lb|kg}}

"," {{nowrap|[[Titan II GLV]],}} {{nowrap|s/n #62-12565}}
"," [[Cape Canaveral Air Force Station|Cape Kennedy]] [[Cape Canaveral Air Force Station Launch Complex 19|LC-19]]

"," {{end-date|July 21, 1966, 21:07:05|timezone=yes}}&nbsp;UTC
"," {{coord|26|44.7|N|71|57|W|type:event|name=Gemini 10 splashdown}}
"," July 19, 1966<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref>
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|299|km|nmi|sp=us|disp=flip}}
"," {{convert|756|km|nmi|sp=us|disp=flip}} 
"," 28.8&nbsp;degrees
"," 95.19&nbsp;minutes
"," gee

"," 2
"," [[John Young (astronaut)|John W. Young]]<br/>[[Michael Collins (astronaut)|Michael Collins]]
"
4,Gemini XI,Gemini_11,https://en.wikipedia.org/wiki/Gemini_11," 
"," 2&nbsp;days, 23&nbsp;hours, 17&nbsp;minutes, 9&nbsp;seconds
"," 44

"," [[Gemini (spacecraft)|Gemini]] SC11
"," {{convert|8374|lb|kg|disp=flip}}
"," {{convert|4230|lb|kg|disp=flip}}

"," {{nowrap|[[Titan II GLV]],}} <!--{{nowrap|s/n }}-->
"," [[Cape Canaveral Air Force Station|Cape Kennedy]] [[Cape Canaveral Air Force Station Launch Complex 19|LC-19]]

"," {{end-date|September 15, 1966, 13:59:35|timezone=yes}}&nbsp;UTC
"," {{Coord|24|15.4|N|70|0|W|type:event|name=Gemini 11 splashdown}}
"," September 14, 1966<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref>
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|298|km|nmi|sp=us}}
"," {{convert|1368|km|nmi|sp=us}}
"," 28.8&nbsp;degrees
"," 101.57&nbsp;minutes
"," gee

"," 2
"," [[Pete Conrad|Charles ""Pete"" Conrad, Jr.]]<br/>[[Richard F. Gordon Jr.]]
"
5,Gemini XII,Gemini_12,https://en.wikipedia.org/wiki/Gemini_12," 
"," 3&nbsp;days, 22&nbsp;hours, 34&nbsp;minutes, 31&nbsp;seconds
"," 59

"," [[Gemini (spacecraft)|Gemini]] SC12
"," {{convert|3762.1|kg|lb}}
"," {{convert|4292.93|lb|kg|disp=flip}}

"," [[Titan II GLV]]
"," [[Cape Canaveral Air Force Station|Cape Kennedy]] [[Cape Canaveral Air Force Station Launch Complex 19|LC-19]]

"," {{end-date|November 15, 1966, 19:21:04|timezone=yes}}&nbsp;UTC
"," {{coord|24|35|N|69|57|W}}<ref name= ""mission""/>
"," November 14, 1966<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref>
"," [[Geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|251|km|nmi|sp=us}}
"," {{convert|289|km|nmi|sp=us}}
"," 28.8&nbsp;degrees
"," 89.94&nbsp;minutes
"," gee

"," 2
"," [[Jim Lovell|James A. Lovell, Jr]]<br/>[[Buzz Aldrin|Edwin E. Aldrin, Jr]]
"
6,Apollo 9,Apollo_9,https://en.wikipedia.org/wiki/Apollo_9," Lunar Module test flight
"," 10&nbsp;days, 1&nbsp;hours, 54&nbsp;seconds
","

"," {{Unbulleted list
  |[[Apollo Command/Service Module|Apollo CSM]]-104
  |[[Apollo Lunar Module|Apollo LM]]-3
}}
"," {{convert|95231|lb|kg}}
"," {{convert|11094|lb|kg}}

"," [[Saturn V]] SA-504
"," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39A]]

"," {{end-date|March 13, 1969, 17:00:54|timezone=yes}}&nbsp;UTC
"," North Atlantic Ocean<br />{{coord|23|15|N|67|56|W|type:event|name=Apollo 9 splashdown}}
"," March 5, 1969<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref>
"," [[geocentric orbit|Geocentric]]
"," [[Low Earth orbit]]
"," {{convert|204|km|mi|sp=us}}
"," {{convert|497|km|mi|sp=us}}
"," 33.8&nbsp;degrees
"," 91.55&nbsp;minutes
"," gee

"," 3
"," {{Unbulleted list
  |[[James McDivitt|James A. McDivitt]]
  |[[David Scott|David R. Scott]]
  |[[Rusty Schweickart|Russell L. Schweickart]]
}}
"
7,Skylab 2,Skylab_2,https://en.wikipedia.org/wiki/Skylab_2," 
"," 28&nbsp;days, 49&nbsp;minutes, 49&nbsp;seconds
"," 404
"," [[Apollo Command/Service Module|Apollo CSM]]-116
"," {{convert|19979|kg|lb}}
","

"," [[Saturn IB]] SA-206
"," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]

"," {{end-date|June 22, 1973, 13:49:48|timezone=yes}}&nbsp;UTC
"," {{coord|24|45|N|127|2|W|type:event}}
"," June 4, 1973<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref> 
"," [[geocentric orbit|Geocentric]]
"," [[low Earth orbit|Low Earth]]
"," {{convert|428|km|nmi|abbr=off|sp=us}} 
"," {{convert|438|km|nmi|abbr=off|sp=us}} 
"," 50.0&nbsp;degrees
"," 93.2&nbsp;minutes 
"," gee

"," 3
"," {{Unbulleted list
  |[[Pete Conrad|Charles Conrad, Jr.]]
  |[[Joseph Kerwin|Joseph P. Kerwin]]
  |[[Paul J. Weitz]]
}}
"
8,Skylab 3,Skylab_3,https://en.wikipedia.org/wiki/Skylab_3," 
"," 59&nbsp;days, 11&nbsp;hours, 09&nbsp;minutes, 01&nbsp;seconds
"," 858
"," [[Apollo Command/Service Module|Apollo CSM]]-117
"," {{convert|20121|kg|lb}}
","

"," [[Saturn IB]] SA-207
"," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]

"," {{end-date|September 25, 1973, 22:19:51|timezone=yes}}&nbsp;UTC 
"," {{coord|30|47|N|120|29|W|type:event}}
"," August 8, 1973<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref> 
"," [[geocentric orbit|Geocentric]]
"," [[low Earth orbit|Low Earth]]
"," {{convert|423|km|mi|sp=us}} 
"," {{convert|441|km|mi|sp=us}} 
"," 50.0&nbsp;degrees
"," 93.2&nbsp;minutes 
"," gee

"," 3
"," {{Unbulleted list
  |[[Alan Bean|Alan L. Bean]]
  |[[Owen Garriott|Owen K. Garriott]]
  |[[Jack R. Lousma]]
}}
"
9,Skylab 4,Skylab_4,https://en.wikipedia.org/wiki/Skylab_4," 
"," 84&nbsp;days, 1&nbsp;hour, 15&nbsp;minutes, 30&nbsp;seconds
"," 1214
"," [[Apollo Command/Service Module|Apollo CSM]]-118
"," {{convert|20847|kg|lb}}
","

"," [[Saturn IB]] SA-208
"," [[Kennedy Space Center|Kennedy]] [[Kennedy Space Center Launch Complex 39|LC-39B]]

"," {{end-date|February 8, 1974, 15:16:53|timezone=yes}}&nbsp;UTC 
"," {{coord|31|18|N|119|48|W|type:event}}
"," January 21, 1974<ref name=satcat>{{cite web|last=McDowell|first=Jonathan|title=SATCAT|url=http://planet4589.org/space/log/satcat.txt|publisher=Jonathan's Space Pages|accessdate=March 23, 2014}}</ref> 
"," [[geocentric orbit|Geocentric]]
"," [[low Earth orbit|Low Earth]]
"," {{convert|422|km|mi|sp=us}} 
"," {{convert|437|km|mi|sp=us}} 
"," 50.0&nbsp;degrees
"," 93.11&nbsp;minutes 
"," gee

"," 3
"," {{Unbulleted list
  |[[Gerald P. Carr]]
  |[[Edward Gibson|Edward G. Gibson]]
  |[[William R. Pogue]]
}}
"
