,EVA #,Country,Crew,Vehicle,Date,Duration,Purpose ,was_moonshot,crew_0,crew_1,crew_2,spacewalk_duration_in_seconds,EVA_start_year,EVA_start_month,EVA_start_day,mission_type,orbit_periapsis,orbit_apoapsis,orbit_inclination,orbit_period,orbit_completed,duration_months,duration_days,duration_hours,duration_minutes,duration_seconds,total_duration_in_seconds
0,1.0,USA,Ed White,Gemini IV,6/3/1965,0:36,First U.S. EVA. Used HHMU and took  photos.  Gas flow cooling of 25ft umbilical overwhelmed by vehicle ingress work and helmet fogged.  Lost overglove.  Jettisoned thermal gloves and helmet sun visor,False,Ed White,NaN,NaN,2160,1965,6,3,Gemini,102.52624635,179.57627391,32.5,89.03,66.0,0.0,4.0,1.0,56.0,12.0,352572.0
1,2.0,USA,David Scott,Gemini VIII,"March 16-17, 1966",0:00,HHMU EVA cancelled before starting by stuck on vehicle thruster that ended mission early,False,David Scott,NaN,NaN,0,1966,3,16,Gemini,162.17788059,167.7702213,28.9,89.81,6.0,0.0,0.0,10.0,41.0,26.0,38486.0
2,3.0,USA,Eugene Cernan,Gemini IX-A,6/5/1966,2:07,"Inadequate restraints, stiff 25ft umbilical and high workloads exceeded suit vent loop cooling capacity and caused fogging.  Demo called off of tethered astronaut maneuvering unit",False,Eugene Cernan,NaN,NaN,7620,1966,6,5,Gemini,169.01296367999998,170.25570606,28.8,89.97,47.0,0.0,3.0,0.0,20.0,50.0,260450.0
3,4.0,USA,Mike Collins,Gemini X,7/19/1966,0:50,Standup EVA.  UV photos of stars.  Ended by eye irritation that impaired vision ,False,Mike Collins,NaN,NaN,3000,1966,7,19,Gemini,185.78998581,469.75661964,28.8,95.19,43.0,0.0,2.0,22.0,46.0,39.0,254799.0
4,5.0,USA,Mike Collins,Gemini X,7/20/1966,0:39,Retrieved MMOD experiment from docked Agena.  Used HHMU. Lost camera and retrieved experiment. EVA ended early by unrelated spacecraft problem,False,Mike Collins,NaN,NaN,2340,1966,7,20,Gemini,185.78998581,469.75661964,28.8,95.19,43.0,0.0,2.0,22.0,46.0,39.0,254799.0
5,6.0,USA,Richard Gordon,Gemini XI,9/13/1966,0:44,"Attached tether between Agena and Gemini.  EVA ended early due to fatigue, overheating & eye sweat",False,Richard Gordon,NaN,NaN,2640,1966,9,13,Gemini,185.16861462,850.03578792,28.8,101.57,44.0,0.0,2.0,23.0,17.0,9.0,256629.0
6,7.0,USA,Richard Gordon,Gemini XI,9/14/1966,2:10,Standup EVA.  Took star photos. Agena tether ops,False,Richard Gordon,NaN,NaN,7800,1966,9,14,Gemini,185.16861462,850.03578792,28.8,101.57,44.0,0.0,2.0,23.0,17.0,9.0,256629.0
7,8.0,USA,Buzz Aldrin,Gemini XII,11/12/1966,2:29,Standup EVA.  Science tasks.  Took star photos,False,Buzz Aldrin,NaN,NaN,8940,1966,11,12,Gemini,155.96416868999998,179.57627391,28.8,89.94,59.0,0.0,3.0,22.0,34.0,31.0,340471.0
8,9.0,USA,Buzz Aldrin,Gemini XII,11/13/1966,2:06,Attached tether between Agena and Gemini.  UV photos of stars.  Waist tether and Dutch shoe eval,False,Buzz Aldrin,NaN,NaN,7560,1966,11,13,Gemini,155.96416868999998,179.57627391,28.8,89.94,59.0,0.0,3.0,22.0,34.0,31.0,340471.0
9,10.0,USA,Buzz Aldrin,Gemini XII,11/14/1966,0:55,Standup EVA.  Jettisoned equipment.  Took photos,False,Buzz Aldrin,NaN,NaN,3300,1966,11,14,Gemini,155.96416868999998,179.57627391,28.8,89.94,59.0,0.0,3.0,22.0,34.0,31.0,340471.0
